,DNA_UNIQUE_ID,Variety Group (Tree)1,days_to_mat,source_country,stdardized_mat,fast
244,IRIS 313-9249,Indica,142.0,KAMPUCHEA,0.437340489822,False
245,IRIS 313-12146,Indica,162.0,KAMPUCHEA,1.27592157635,False
246,IRIS 313-10898,Indica,169.0,KAMPUCHEA,1.56942495664,False
247,IRIS 313-12109,Indica,146.0,KAMPUCHEA,0.605056707128,False
248,IRIS 313-12148,Indica,168.0,KAMPUCHEA,1.52749590231,False
249,IRIS 313-12147,Indica,155.0,KAMPUCHEA,0.982418196066,False
250,IRIS 313-12142,Indica,164.0,KAMPUCHEA,1.359779685,False
251,IRIS 313-12246,Indica,136.0,KAMPUCHEA,0.185766163863,False
252,IRIS 313-11997,Indica,164.0,KAMPUCHEA,1.359779685,False
253,IRIS 313-12036,Indica,180.0,KAMPUCHEA,2.03064455423,False
254,IRIS 313-12152,Indica,185.0,KAMPUCHEA,2.24028982586,False
255,IRIS 313-11998,Indica,179.0,KAMPUCHEA,1.9887154999,False
256,IRIS 313-10899,Indica,162.0,KAMPUCHEA,1.27592157635,False
257,IRIS 313-12151,Indica,153.0,KAMPUCHEA,0.898560087413,False
258,IRIS 313-12247,Indica,160.0,KAMPUCHEA,1.1920634677,False
259,IRIS 313-10900,Indica,169.0,KAMPUCHEA,1.56942495664,False
260,IRIS 313-10901,Indica,169.0,KAMPUCHEA,1.56942495664,False
261,IRIS 313-12249,Indica,115.0,KAMPUCHEA,-0.694743976992,False
262,IRIS 313-10902,Indica,169.0,KAMPUCHEA,1.56942495664,False
263,IRIS 313-11999,Indica,171.0,KAMPUCHEA,1.65328306529,False
264,IRIS 313-12037,Indica,196.0,KAMPUCHEA,2.70150942345,False
265,IRIS 313-11935,Indica,185.0,KAMPUCHEA,2.24028982586,False
266,IRIS 313-10904,Indica,130.0,KAMPUCHEA,-0.0658081620953,False
267,IRIS 313-12058,Indica,192.0,KAMPUCHEA,2.53379320615,False
268,IRIS 313-12000,Indica,185.0,KAMPUCHEA,2.24028982586,False
269,IRIS 313-10907,Indica,140.0,KAMPUCHEA,0.353482381169,False
270,IRIS 313-10908,Indica,133.0,KAMPUCHEA,0.0599790008841,False
271,IRIS 313-12038,Indica,196.0,KAMPUCHEA,2.70150942345,False
272,IRIS 313-12039,Indica,184.0,KAMPUCHEA,2.19836077153,False
273,IRIS 313-12096,Indica,192.0,KAMPUCHEA,2.53379320615,False
274,IRIS 313-12040,Indica,196.0,KAMPUCHEA,2.70150942345,False
275,IRIS 313-11936,Indica,163.0,KAMPUCHEA,1.31785063068,False
276,IRIS 313-10912,Indica,169.0,KAMPUCHEA,1.56942495664,False
277,IRIS 313-12041,Indica,191.0,KAMPUCHEA,2.49186415182,False
278,IRIS 313-12161,Indica,143.0,KAMPUCHEA,0.479269544149,False
279,IRIS 313-12042,Indica,191.0,KAMPUCHEA,2.49186415182,False
280,IRIS 313-10915,Indica,169.0,KAMPUCHEA,1.56942495664,False
281,IRIS 313-11087,Indica,186.0,KAMPUCHEA,2.28221888019,False
282,IRIS 313-10648,Indica,142.0,KAMPUCHEA,0.437340489822,False
283,IRIS 313-12251,Indica,167.0,KAMPUCHEA,1.48556684798,False
284,IRIS 313-12043,Indica,180.0,KAMPUCHEA,2.03064455423,False
285,IRIS 313-12101,Indica,214.0,KAMPUCHEA,3.45623240133,False
286,IRIS 313-12044,Indica,180.0,KAMPUCHEA,2.03064455423,False
287,IRIS 313-12102,Indica,214.0,KAMPUCHEA,3.45623240133,False
288,IRIS 313-12143,Indica,162.0,KAMPUCHEA,1.27592157635,False
289,IRIS 313-11088,Indica,142.0,KAMPUCHEA,0.437340489822,False
